,PSI,Status
loan_amnt,0.00032945226807969705,✅ Stable
funded_amnt,0.0002920462869340133,✅ Stable
int_rate,0.00022696888802905394,✅ Stable
installment,0.00013729685312791314,✅ Stable
grade_num,0.00011295777174598053,✅ Stable
sub_grade_num,0.00013041795397292515,✅ Stable
emp_length_num,0.0002251043167719118,✅ Stable
home_own,3.340445835756832e-05,✅ Stable
annual_inc,0.0003150901513955511,✅ Stable
verification_num,0.00018754254453253583,✅ Stable
purpose_num,8.163270234628825e-05,✅ Stable
dti,0.0003354731472383991,✅ Stable
delinq_2yrs,1.2844845614560244e-05,✅ Stable
inq_last_6mths,8.888350699443664e-05,✅ Stable
mths_since_last_delinq,1.543701930239696e-05,✅ Stable
mths_since_last_record,1.7196127901636347e-05,✅ Stable
open_acc,0.00037994686208852436,✅ Stable
pub_rec,8.014754081169349e-05,✅ Stable
revol_bal,0.0005857475361574235,✅ Stable
revol_util_num,0.00011444133712522992,✅ Stable
total_acc,0.00016637532086248528,✅ Stable
list_status_num,1.0271074087129039e-06,✅ Stable
term_num,8.182837735351027e-06,✅ Stable
collections_12_mths_ex_med,0.0,✅ Stable
acc_now_delinq,0.0,✅ Stable
tot_coll_amt,0.0,✅ Stable
tot_cur_bal,0.00012643294273939726,✅ Stable
total_rev_hi_lim,0.00035307675671576103,✅ Stable
mths_since_earliest_cr_line,0.0002600703546616175,✅ Stable
mths_since_issue_d,0.00013381945959233248,✅ Stable
loan_to_income,0.00023764151428432947,✅ Stable
installment_to_income,0.0001694921120243883,✅ Stable
